domain,kind
37signals.com,suffix
accounts.google.com,fqdn
adobe.io,suffix
ai.google.dev,fqdn
ai.studio,suffix
aisandbox-pa.googleapis.com,fqdn
aistudio.google.com,fqdn
aitestkitchen.withgoogle.com,fqdn
alkalicore-pa.clients6.google.com,fqdn
alkalimakersuite-pa.clients6.google.com,fqdn
amd.com,suffix
anthropic.com,suffix
api-sg-central.trae.ai,fqdn
api.fitbit.com,fqdn
api.imgur.com,fqdn
api.jetbrains.ai,fqdn
api.trae.ai,fqdn
api.workos.com,fqdn
api16-normal-alisg.mchost.guru,fqdn
apis.google.com,fqdn
appcatalyst.pa.googleapis.com,fqdn
assistant-s3-pa.googleapis.com,fqdn
auth.xboxlive.com,fqdn
autodesk.com,suffix
autodesk.net,suffix
badoo.app,suffix
badoo.com,suffix
badoocdn.com,suffix
bard.google.com,fqdn
basecamp.com,suffix
basecampapi.com,suffix
brave.com,suffix
builds.parsec.app,fqdn
canva-apps.com,suffix
canva.com,suffix
canva.dev,suffix
cdn.auth0.com,fqdn
cdn.web-platform.io,fqdn
chat.com,suffix
chatgpt.com,suffix
chatgpt.livekit.cloud,fqdn
chatgpt.site,suffix
chess.com,suffix
cici.com,suffix
clau.de,suffix
claude.ai,suffix
claude.com,suffix
claudemcpclient.com,suffix
claudemcpcontent.com,suffix
claudeusercontent.com,suffix
clickup.com,suffix
cloudaicompanion.googleapis.com,fqdn
cloudcode-pa.googleapis.com,fqdn
codeium.com,suffix
context7.com,suffix
controlplane.tailscale.com,fqdn
copilot-proxy.githubusercontent.com,fqdn
copilot-workspace.githubnext.com,fqdn
copilot.cloud.microsoft,suffix
copilot.com,suffix
copilot.microsoft.com,suffix
crixet.com,suffix
d.docs.live.net,fqdn
daily-cloudcode-pa.googleapis.com,fqdn
datastudio.google.com,fqdn
deepl.app,suffix
deepl.com,suffix
deepmind.com,suffix
deepmind.google,suffix
deezer.com,suffix
dell.com,suffix
dellcdn.com,suffix
designer.microsoft.com,fqdn
designerapp.officeapps.live.com,fqdn
designify.com,suffix
developer.nvidia.com,fqdn
developerprofiles-pa.googleapis.com,fqdn
dl.teamviewer.com,fqdn
dola.com,suffix
download.teamviewer.com,fqdn
dyson.com,suffix
dyson.de,suffix
dyson.se,suffix
ecs.office.com,fqdn
edgeservices.bing.com,fqdn
elevenlabs.io,suffix
elevenreader.io,suffix
elgato.com,suffix
eu.posthog.com,fqdn
files.manuscdn.com,fqdn
fitbit-pa.googleapis.com,fqdn
fitbit.google.com,fqdn
fitbitvestibuleshim-pa.googleapis.com,fqdn
flowmusic.app,suffix
fmhy.net,suffix
framer.com,suffix
geller-pa.googleapis.com,fqdn
gemini.google,suffix
gemini.google.com,fqdn
gemini.gstatic.com,fqdn
generativeai.google,suffix
generativelanguage.googleapis.com,fqdn
geolocation.onetrust.com,fqdn
githubcopilot.com,suffix
gpt3-openai.com,suffix
gql.twitch.tv,fqdn
grok.com,suffix
grok.x.com,suffix
grokipedia.com,suffix
gssv-play-prod.xboxlive.com,fqdn
guidedhacking.com,suffix
guilded.gg,suffix
host.livekit.cloud,fqdn
images.contentstack.io,fqdn
intel.com,suffix
intel.de,suffix
intel.se,suffix
jetbrains.com,suffix
jetbrains.space,suffix
jules.google,suffix
jules.google.com,fqdn
kaleido.ai,suffix
labs.google,suffix
labs.google.com,fqdn
last.fm,suffix
linear.app,suffix
lookerstudio.google.com,fqdn
make.com,suffix
makersuite.google.com,fqdn
manus.im,suffix
meta.ai,suffix
midjourney.com,suffix
mongodb.com,suffix
myjetbrains.com,suffix
naukimg.com,suffix
naukri.com,suffix
notebooklm-pa.googleapis.com,fqdn
notebooklm.google,suffix
notebooklm.google.com,fqdn
notion.com,suffix
notion.so,suffix
o.pki.goog,fqdn
oaistatic.com,suffix
oaistatsig.com,suffix
oaiusercontent.com,suffix
opal.google,suffix
opal.google.com,fqdn
opal.withgoogle.com,fqdn
openai.com,suffix
openaiapi-site.azureedge.net,fqdn
openaipublic.blob.core.windows.net,fqdn
oracle.com,suffix
people-pa.clients6.google.com,fqdn
perplexity.ai,suffix
perplexity.com,suffix
pplx.ai,suffix
proactivebackend-pa.googleapis.com,fqdn
pump.fun,suffix
qualtrics.com,suffix
qwant.com,suffix
remove.bg,suffix
reve.art,suffix
reve.com,suffix
rewards.bing.com,fqdn
robinfrontend-pa.googleapis.com,fqdn
scdn.co,suffix
signaler-pa.clients6.google.com,fqdn
sketchup.com,suffix
sora.com,suffix
spotify.com,suffix
spotifycdn.com,suffix
spotifycdn.net,suffix
stitch.withgoogle.com,fqdn
strava.com,suffix
sydney.bing.com,fqdn
tableau.com,suffix
titlestorage.xboxlive.com,fqdn
trae-api-sg.mchost.guru,fqdn
tria.ge,suffix
trimble.com,suffix
truthsocial.com,suffix
turn.livekit.cloud,fqdn
tuta.com,suffix
unscreen.com,suffix
usher.ttvnw.net,fqdn
w-x.co,suffix
waa-pa.clients6.google.com,fqdn
wbagora.com,suffix
wbgames.com,suffix
weather.com,suffix
web.archive.org,fqdn
webchannel-alkalimakersuite-pa.clients6.google.com,fqdn
windsurf.com,suffix
ws.audioscrobbler.com,fqdn
wund.com,suffix
wunderground.com,suffix
www.google.com,fqdn
wxug.com,suffix
x.ai,suffix
xboxdesignlab.xbox.com,fqdn
xerox.com,suffix
xgpuweb.gssv-play-prod.xboxlive.com,fqdn
xgpuwebf2p.gssv-play-prod.xboxlive.com,fqdn
xsts.auth.xboxlive.com,fqdn
zapier-deployment.com,suffix
zapier.com,suffix
