domain,kind,probe
chat.com,suffix,
chatgpt.com,suffix,
chatgpt.site,suffix,
crixet.com,suffix,
oaistatic.com,suffix,
oaistatsig.com,suffix,
oaiusercontent.com,suffix,files.oaiusercontent.com
openai.com,suffix,
sora.com,suffix,
chatgpt.livekit.cloud,fqdn,
host.livekit.cloud,fqdn,
turn.livekit.cloud,fqdn,
anthropic.com,suffix,
clau.de,suffix,
claude.ai,suffix,
claude.com,suffix,
claudemcpclient.com,suffix,
claudemcpcontent.com,suffix,
claudeusercontent.com,suffix,
deepmind.com,suffix,
deepmind.google,suffix,
geller-pa.googleapis.com,fqdn,
generativelanguage.googleapis.com,fqdn,
proactivebackend-pa.googleapis.com,fqdn,
robinfrontend-pa.googleapis.com,fqdn,
ai.google.dev,fqdn,
alkalicore-pa.clients6.google.com,fqdn,
alkalimakersuite-pa.clients6.google.com,fqdn,
webchannel-alkalimakersuite-pa.clients6.google.com,fqdn,
generativeai.google,suffix,
makersuite.google.com,fqdn,
ai.studio,suffix,
aistudio.google.com,fqdn,
bard.google.com,fqdn,
gemini.google,suffix,
gemini.google.com,fqdn,
gemini.gstatic.com,fqdn,
cloudaicompanion.googleapis.com,fqdn,
cloudcode-pa.googleapis.com,fqdn,
daily-cloudcode-pa.googleapis.com,fqdn,
githubcopilot.com,suffix,
copilot.com,suffix,
copilot.microsoft.com,suffix,
copilot.cloud.microsoft,suffix,
copilot-proxy.githubusercontent.com,fqdn,
copilot-workspace.githubnext.com,fqdn,
perplexity.ai,suffix,
perplexity.com,suffix,
pplx.ai,suffix,
grok.com,suffix,
grok.x.com,suffix,
grokipedia.com,suffix,
x.ai,suffix,
midjourney.com,suffix,
www.google.com,fqdn,
accounts.google.com,fqdn,
api.fitbit.com,fqdn,
fitbit-pa.googleapis.com,fqdn,
fitbit.google.com,fqdn,
fitbitvestibuleshim-pa.googleapis.com,fqdn,
