service_id,domain
basecamp,37signals.com
google_shared,accounts.google.com
adobe,adobe.io
gemini,ai.google.dev
gemini,ai.studio
developer_infrastructure,aisandbox-pa.googleapis.com
gemini,aistudio.google.com
developer_infrastructure,aitestkitchen.withgoogle.com
developer_infrastructure,alkalicore-pa.clients6.google.com
developer_infrastructure,alkalimakersuite-pa.clients6.google.com
amd,amd.com
claude,anthropic.com
trae,api-sg-central.trae.ai
fitbit,api.fitbit.com
developer_infrastructure,api.imgur.com
jetbrains,api.jetbrains.ai
trae,api.trae.ai
developer_infrastructure,api.workos.com
developer_infrastructure,api16-normal-alisg.mchost.guru
google_shared,apis.google.com
developer_infrastructure,appcatalyst.pa.googleapis.com
developer_infrastructure,assistant-s3-pa.googleapis.com
xbox,auth.xboxlive.com
xbox_shared,auth.xboxlive.com
autodesk,autodesk.com
autodesk,autodesk.net
badoo,badoo.app
badoo,badoo.com
badoo,badoocdn.com
cdn_shared,badoocdn.com
gemini,bard.google.com
basecamp,basecamp.com
basecamp,basecampapi.com
brave,brave.com
parsec,builds.parsec.app
canva,canva-apps.com
canva,canva.com
canva,canva.dev
developer_infrastructure,cdn.auth0.com
cdn_shared,cdn.web-platform.io
chatgpt,chat.com
chatgpt,chatgpt.com
chatgpt,chatgpt.livekit.cloud
chatgpt,chatgpt.site
chess,chess.com
cici,cici.com
claude,clau.de
claude,claude.ai
claude,claude.com
claude,claudemcpclient.com
claude,claudemcpcontent.com
claude,claudeusercontent.com
clickup,clickup.com
developer_infrastructure,cloudaicompanion.googleapis.com
developer_infrastructure,cloudcode-pa.googleapis.com
codeium,codeium.com
developer_infrastructure,controlplane.tailscale.com
github_copilot,copilot-proxy.githubusercontent.com
github_copilot,copilot-workspace.githubnext.com
microsoft_copilot,copilot.cloud.microsoft
microsoft_copilot,copilot.com
microsoft_copilot,copilot.microsoft.com
misc_experimental,crixet.com
microsoft_shared,d.docs.live.net
developer_infrastructure,daily-cloudcode-pa.googleapis.com
google_apps,datastudio.google.com
deepl,deepl.app
deepl,deepl.com
gemini,deepmind.com
gemini,deepmind.google
google_shared,deepmind.google
deezer,deezer.com
dell,dell.com
cdn_shared,dellcdn.com
dell,dellcdn.com
microsoft_copilot,designer.microsoft.com
microsoft_copilot,designerapp.officeapps.live.com
designify,designify.com
nvidia,developer.nvidia.com
developer_infrastructure,developerprofiles-pa.googleapis.com
teamviewer,dl.teamviewer.com
dola,dola.com
teamviewer,download.teamviewer.com
dyson,dyson.com
dyson,dyson.de
dyson,dyson.se
microsoft_shared,ecs.office.com
microsoft_shared,edgeservices.bing.com
elevenlabs,elevenlabs.io
elevenlabs,elevenreader.io
elgato,elgato.com
developer_infrastructure,eu.posthog.com
cdn_shared,files.manuscdn.com
manus,files.manuscdn.com
fitbit,fitbit-pa.googleapis.com
fitbit,fitbit.google.com
fitbit,fitbitvestibuleshim-pa.googleapis.com
flowmusic,flowmusic.app
fmhy,fmhy.net
framer,framer.com
developer_infrastructure,geller-pa.googleapis.com
gemini,gemini.google
gemini,gemini.google.com
gemini,gemini.gstatic.com
gemini,generativeai.google
developer_infrastructure,generativelanguage.googleapis.com
developer_infrastructure,geolocation.onetrust.com
github_copilot,githubcopilot.com
misc_experimental,gpt3-openai.com
twitch,gql.twitch.tv
grok,grok.com
grok,grok.x.com
grok,grokipedia.com
xbox,gssv-play-prod.xboxlive.com
xbox_shared,gssv-play-prod.xboxlive.com
guidedhacking,guidedhacking.com
guilded,guilded.gg
chatgpt,host.livekit.cloud
cdn_shared,images.contentstack.io
intel,intel.com
intel,intel.de
intel,intel.se
jetbrains,jetbrains.com
jetbrains,jetbrains.space
google_apps,jules.google
google_apps,jules.google.com
kaleido,kaleido.ai
google_apps,labs.google
google_apps,labs.google.com
lastfm,last.fm
linear,linear.app
google_apps,lookerstudio.google.com
make,make.com
gemini,makersuite.google.com
manus,manus.im
meta_ai,meta.ai
midjourney,midjourney.com
mongodb,mongodb.com
jetbrains,myjetbrains.com
naukri,naukimg.com
naukri,naukri.com
developer_infrastructure,notebooklm-pa.googleapis.com
google_apps,notebooklm.google
google_apps,notebooklm.google.com
notion,notion.com
notion,notion.so
developer_infrastructure,o.pki.goog
chatgpt,oaistatic.com
openai_shared,oaistatic.com
chatgpt,oaistatsig.com
chatgpt,oaiusercontent.com
openai_shared,oaiusercontent.com
google_apps,opal.google
google_apps,opal.google.com
google_apps,opal.withgoogle.com
chatgpt,openai.com
openai_shared,openai.com
openai_shared,openaiapi-site.azureedge.net
openai_shared,openaipublic.blob.core.windows.net
oracle,oracle.com
developer_infrastructure,people-pa.clients6.google.com
perplexity,perplexity.ai
perplexity,perplexity.com
perplexity,pplx.ai
developer_infrastructure,proactivebackend-pa.googleapis.com
pump_fun,pump.fun
qualtrics,qualtrics.com
qwant,qwant.com
remove_bg,remove.bg
reve,reve.art
reve,reve.com
microsoft_shared,rewards.bing.com
developer_infrastructure,robinfrontend-pa.googleapis.com
cdn_shared,scdn.co
spotify,scdn.co
developer_infrastructure,signaler-pa.clients6.google.com
